Works / Goods,Region,Location,Sector,Project,Funding Stage,Amount,Expenditure,Initial Phase Status,Procurement Phase Status,Contract Signing, Implementation Phase Status,Site handover date,Start Date,Actual completion date,Overall Status ,Type,Project ID,Latitude,Longitude,Donor,Implementation_duration
Works ,South,Ubari,Education ,Rehabilitation of School,Phase 1,305252.9461,304339.0522,Completed,PO + Contract issuance done,4/21/2017,Substantial completion / handover done,7/16/2017 0:00,7/23/2017 0:00,12/31/2017,Completed,School,98720,26.59386111,12.77965833,Germany,254
Works ,South,Ubari,Education ,Rehabilitation of School,Phase 1,111125.5113,111059.3598,Completed,PO + Contract issuance done,3/13/2017,Substantial completion / handover done,5/2/2017 0:00,5/9/2017 0:00,9/6/2017,Completed,School,98720,26.58963056,12.77111944,Germany,177
Works ,South,Ubari,Education ,Rehabilitation of School,Phase 1,311395.5068,311365.8885,Completed,PO + Contract issuance done,7/7/2017,Substantial completion / handover done,7/27/2017 0:00,8/3/2017 0:00,12/1/2017,Completed,School,98720,26.5897,12.769525,Germany,147
Works ,South,Ubari,Health ,Rehabilitation of Hospital,Phase 1,266921.715,266921.715,Completed,PO + Contract issuance done,3/1/2017,Substantial completion / handover done,3/12/2017 0:00,3/19/2017 0:00,7/17/2017,Completed,Hospital,98720,26.59281944,12.76294444,Japan,138
Goods ,South,Ubari,Health ,Suppy of Medical Equipment,Phase 1,55914.05596,54898.3966,Completed,PO + Contract issuance done,11/7/2018,Substantial completion / handover done,,,8/22/2019,Completed,Medical Equipment,98720,26.59281944,12.76294444,Japan,288
Goods ,South,Ubari,Health ,Supply of Ambulances,Phase 1,62002.57413,69106.73565,Completed,PO + Contract issuance done,2/1/2016,Substantial completion / handover done,,,12/31/2017,Completed,Ambulance,98720,26.59281944,12.76294444,South Korea,699
Goods ,South,Ubari,Health ,Supply of Generators,Phase 1,78445.16299,78644.64545,Completed,PO + Contract issuance done,2/1/2016,Substantial completion / handover done,,,12/31/2017,Completed,Generator,98720,"26.5904472222222
26.5858","12.8199638888889
12.7998694444444",Germany,699
Goods ,South,Ubari,Solid Waste Management,Supply of Garbage Trucks,Phase 1,89838.38835,89734.20661,Completed,PO + Contract issuance done,5/1/2017,Substantial completion / handover done,,,2/28/2019,Completed,Garbage truck,98720,26.58782222,12.77386667,Germany,668
Works ,South,Ubari,Public Infrastructure and Services,Rehabilitation of Public Building,Phase 1,49698.32533,49698.32533,Completed,PO + Contract issuance done,3/8/2017,Substantial completion / handover done,3/13/2017 0:00,3/20/2017 0:00,7/18/2017,Completed,Public Infrastructure,98720,26.59099444,12.76648333,EU,132
Goods ,South,Ubari,Public Infrastructure and Services,Supply of IT Equipment,Phase 1,4604.363349,4604.363349,Completed,PO + Contract issuance done,7/19/2018,Substantial completion / handover done,,,12/31/2018,Completed,IT equipment,98720,26.59099444,12.76648333,Japan,165
Goods ,South,Ubari,Public Infrastructure and Services,Supply of Furniture,Phase 1,3547.502876,3547.502876,Completed,PO + Contract issuance done,7/19/2018,Substantial completion / handover done,,,12/31/2018,Completed,Other public equipment,98720,26.59099444,12.76648333,Japan,165
Works ,South,Ubari,Health ,Rehabilitation of Hospital,Phase 1,12065.77395,12060.91117,Completed,PO + Contract issuance done,5/4/2018,Substantial completion / handover done,,,7/1/2018,Completed,Other health building,98720,26.59044722,12.81996389,UK,58
Works ,South,Ubari,Health ,Rehabilitation of Clinic,Phase 1,24459.72064,24354.68042,Completed,PO + Contract issuance done,5/4/2018,Substantial completion / handover done,,,8/14/2018,Completed,Other health building,98720,26.5858,12.79986944,USA,102
Works ,South,Ubari,Public Infrastructure and Services,Rehabilitation of Public Market ,Phase 1,314647.9422,314647.9422,Completed,PO + Contract issuance done,7/17/2017,Substantial completion / handover done,8/3/2017 0:00,8/10/2017 0:00,5/1/2018,Completed,Public Infrastructure,98720,26.58806111,12.77771389,Germany,288
Goods ,South,Ubari,WASH,Supply of Pesticide Sprayer Trucks,Phase 1,30860.80056,28668.17723,Completed,PO + Contract issuance done,5/4/2017,Substantial completion / handover done,,,12/31/2017,Completed,Pesticide Sprayer,98720,26.58782222,12.77386667,EU,241
Works ,West,Tripoli,Health ,Rehabilitation of Hospital,Phase 1,324059.8005,323832.4196,Completed,PO + Contract issuance done,3/6/2018,Substantial completion / handover done,3/18/2018 0:00,7/1/2019 0:00,2/20/2020,Completed,Hospital,98720,32.880434,13.190073,UK,716
Works ,West,Tripoli,Health ,Rehabilitation of Hospital,Phase 1,100109.5081,100109.4542,Completed,PO + Contract issuance done,8/19/2019,Substantial completion / handover done,6/17/2020 0:00,,1/27/2021,Completed,Hospital,112158,32.558341,13.178202,Germany,527
Works ,West,Tripoli,Health ,Rehabilitation of Hospital,Phase 1,78479.37903,78475.62074,Completed,PO + Contract issuance done,6/18/2019,Substantial completion / handover done,7/24/2019 0:00,,2/20/2020,Completed,Hospital,112158,32.884282,13.162879,EU,247
Works ,West,Tripoli,Health ,Rehabilitation of Hospital,Phase 1,163688.9806,147226.7936,Completed,PO + Contract issuance done,9/9/2020,Substantial completion / handover done,10/1/2020 0:00,10/29/2020 0:00,6/9/2021,Completed,Hospital,112158,32.87713,13.396316,Germany,273
Works ,West,Tripoli,Health ,Rehabilitation of Hospital,Phase 1,65609.03053,65597.30803,Completed,PO + Contract issuance done,7/28/2020,Substantial completion / handover done,8/16/2020 0:00,,9/16/2021,Completed,Hospital,112158,32.8544595,13.1747602,Libya,415
Goods ,West,Tripoli,WASH,Supply of Sewage Suction Trucks,Phase 1,828929.3374,784363.7313,Completed,PO + Contract issuance done,10/14/2018,Substantial completion / handover done,,,7/12/2019,Completed,Sewage suction truck,98720,,,Japan,271
Goods ,West,Tripoli,Solid Waste Management,Supply of Garbage Trucks,Phase 1,65984.2119,66041.68591,Completed,PO + Contract issuance done,12/29/2018,Substantial completion / handover done,,,9/25/2019,Completed,Garbage truck,98720,,,EU,270
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,19194.85234,19194.85234,Completed,PO + Contract issuance done,7/30/2018,Substantial completion / handover done,8/29/2018 0:00,9/5/2018 0:00,12/2/2018,Completed,School,98720,32.84529167,13.03770556,Norway,125
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,18259.24858,18259.24858,Completed,PO + Contract issuance done,7/30/2018,Substantial completion / handover done,8/29/2018 0:00,9/5/2018 0:00,12/2/2018,Completed,School,98720,32.77483333,13.004225,Norway,125
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,19605.38459,19605.38459,Completed,PO + Contract issuance done,7/30/2018,Substantial completion / handover done,8/29/2018 0:00,9/5/2018 0:00,12/2/2018,Completed,School,98720,32.83883889,13.06273889,Norway,125
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,19929.63408,19929.61836,Completed,PO + Contract issuance done,5/10/2018,Substantial completion / handover done,5/25/2018 0:00,6/1/2018 0:00,10/25/2018,Completed,School,98720,32.82642778,13.01684722,Japan,168
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,18698.71592,18698.70118,Completed,PO + Contract issuance done,5/10/2018,Substantial completion / handover done,5/25/2018 0:00,6/1/2018 0:00,10/25/2018,Completed,School,98720,32.79184444,12.99820833,Japan,168
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,20789.06935,20789.05296,Completed,PO + Contract issuance done,5/10/2018,Substantial completion / handover done,5/25/2018 0:00,6/1/2018 0:00,10/25/2018,Completed,School,98720,32.82678056,12.98455556,Japan,168
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,17209.15606,14293.7335,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,32.81065278,13.00161667,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,19313.31358,16041.42332,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,16276.34816,13518.95364,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,32.842375,13.04139167,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,18454.51234,15328.11256,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,32.81060833,12.96320556,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,15021.91609,12477.03632,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,32.83350556,13.07263333,Norway,646
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,13321.54489,12029.24093,Completed,PO + Contract issuance done,11/25/2018,Substantial completion / handover done,12/22/2018 0:00,12/29/2018 0:00,8/31/2020,Completed,School,98720,32.85479,13.16026,Norway,645
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,21726.74179,21930.09073,Completed,PO + Contract issuance done,11/25/2018,Substantial completion / handover done,12/22/2018 0:00,12/29/2018 0:00,8/31/2020,Completed,School,98720,32.84657,13.17888,Norway,645
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,18120.514,19150.16941,Completed,PO + Contract issuance done,11/25/2018,Substantial completion / handover done,12/22/2018 0:00,12/29/2018 0:00,8/31/2020,Completed,School,98720,32.85123,13.18383,Norway,645
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,20556.39963,22281.38814,Completed,PO + Contract issuance done,11/8/2018,Substantial completion / handover done,11/15/2018 0:00,11/22/2018 0:00,3/15/2019,Completed,School,98720,32.79428,13.16423,Japan,127
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,12997.80157,10439.27108,Completed,PO + Contract issuance done,11/8/2018,Substantial completion / handover done,11/15/2018 0:00,11/22/2018 0:00,3/15/2019,Completed,School,98720,32.85365,13.17802,Japan,127
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,12020.87067,13038.09728,Completed,PO + Contract issuance done,11/8/2018,Substantial completion / handover done,11/15/2018 0:00,11/22/2018 0:00,3/15/2019,Completed,School,98720,32.79372,13.14245,Japan,127
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,13913.88225,11556.71574,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,17742.85092,14737.01451,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,18438.4903,15314.80484,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,15044.16561,12495.51652,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,16385.59984,13609.69687,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,10393.93622,9670.124505,Completed,PO + Contract issuance done,11/13/2018,Substantial completion / handover done,12/8/2018 0:00,12/15/2018 0:00,6/19/2019,Completed,School,98720,32.70631,12.93257,Italy,218
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,11390.68679,11382.38921,Completed,PO + Contract issuance done,11/13/2018,Substantial completion / handover done,12/8/2018 0:00,12/15/2018 0:00,6/19/2019,Completed,School,98720,32.76312,13.092737,Italy,218
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,22372.56428,22266.63522,Completed,PO + Contract issuance done,11/13/2018,Substantial completion / handover done,12/8/2018 0:00,12/15/2018 0:00,6/19/2019,Completed,School,98720,32.64499,13.021126,Italy,218
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,23789.22992,23789.22992,Completed,PO + Contract issuance done,10/26/2018,Substantial completion / handover done,11/25/2018 0:00,12/2/2018 0:00,5/21/2019,Completed,School,98720,32.713218,13.067128,Japan,207
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,31429.84697,31429.86832,Completed,PO + Contract issuance done,10/26/2018,Substantial completion / handover done,11/25/2018 0:00,12/2/2018 0:00,5/21/2019,Completed,School,98720,32.688304,13.058447,Japan,207
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,11533.98067,11533.98067,Completed,PO + Contract issuance done,10/26/2018,Substantial completion / handover done,11/25/2018 0:00,12/2/2018 0:00,5/21/2019,Completed,School,98720,32.638169,13.065338,Japan,207
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,16185.27531,13443.30954,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,13781.79704,11447.00724,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,14030.00427,11653.16541,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,17552.48813,14578.9013,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,19267.16115,16003.08962,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,19369.15269,17494.36235,Completed,PO + Contract issuance done,11/10/2018,Substantial completion / handover done,12/10/2018 0:00,12/17/2018 0:00,9/4/2019,Completed,School,98720,32.574,13.279,Japan,298
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,20778.19293,16418.05878,Completed,PO + Contract issuance done,11/10/2018,Substantial completion / handover done,12/10/2018 0:00,12/17/2018 0:00,9/4/2019,Completed,School,98720,32.607,13.241,Japan,298
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,21503.20464,26582.72467,Completed,PO + Contract issuance done,11/10/2018,Substantial completion / handover done,12/10/2018 0:00,12/17/2018 0:00,9/4/2019,Completed,School,98720,32.591,13.223,Japan,298
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,14244.10668,15463.59767,Completed,PO + Contract issuance done,11/22/2018,Substantial completion / handover done,12/9/2018 0:00,12/16/2018 0:00,1/5/2020,Completed,School,112158,32.666,13.292,EU,409
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,16630.00932,15419.69748,Completed,PO + Contract issuance done,11/22/2018,Substantial completion / handover done,12/9/2018 0:00,12/16/2018 0:00,1/5/2020,Completed,School,112158,32.616,13.277,EU,409
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,12006.36413,11824.80129,Completed,PO + Contract issuance done,11/22/2018,Substantial completion / handover done,12/9/2018 0:00,12/16/2018 0:00,1/5/2020,Completed,School,112158,32.529,13.257,EU,409
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,14985.99669,12447.20207,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,13926.10548,11566.86823,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,18086.00672,15022.0359,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,17446.40602,14490.79068,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,16642.25661,13822.87313,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,10951.45233,12378.81387,Completed,PO + Contract issuance done,6/19/2019,Substantial completion / handover done,7/17/2019 0:00,,11/19/2019,Completed,School,112158,32.742572,13.748748,EU,153
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,27737.22068,26943.1223,Completed,PO + Contract issuance done,6/19/2019,Substantial completion / handover done,7/17/2019 0:00,,11/19/2019,Completed,School,112158,32.383563,13.445763,EU,153
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,14832.28709,13882.07314,Completed,PO + Contract issuance done,6/19/2019,Substantial completion / handover done,7/17/2019 0:00,,11/19/2019,Completed,School,112158,32.392841,13.35284,EU,153
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,27273.09484,81473.80838,Completed,PO + Contract issuance done,6/19/2019,Substantial completion / handover done,7/17/2019 0:00,7/17/2019 0:00,11/16/2019,Completed,School,112158,32.733465,13.782862,EU,150
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,23031.01726,0,Completed,PO + Contract issuance done,6/19/2019,Substantial completion / handover done,7/17/2019 0:00,7/17/2019 0:00,11/16/2019,Completed,School,112158,32.445404,13.390471,EU,150
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,21870.70681,0,Completed,PO + Contract issuance done,6/19/2019,Substantial completion / handover done,7/17/2019 0:00,7/17/2019 0:00,7/27/2020,Completed,School,112158,32.711704,13.608773,EU,404
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,14269.05523,11851.71847,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,16858.59612,14002.56231,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,17698.28104,14699.99526,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,13361.48671,11097.90216,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,16635.42465,13817.19857,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,31769.302,30368.45906,Completed,PO + Contract issuance done,10/8/2018,Substantial completion / handover done,11/27/2018 0:00,12/4/2018 0:00,2/21/2019,Completed,School,98720,32.89229,13.20121,USA,136
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,12824.76585,13003.93537,Completed,PO + Contract issuance done,10/8/2018,Substantial completion / handover done,11/27/2018 0:00,12/4/2018 0:00,2/21/2019,Completed,School,98720,32.88631,13.19555,USA,136
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,6853.653112,8088.290752,Completed,PO + Contract issuance done,10/8/2018,Substantial completion / handover done,11/27/2018 0:00,12/4/2018 0:00,2/21/2019,Completed,School,98720,32.88786,13.19587,USA,136
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,15428.83723,14839.68124,Completed,PO + Contract issuance done,11/18/2018,Substantial completion / handover done,12/14/2018 0:00,12/21/2018 0:00,4/15/2019,Completed,School,112158,32.8914,13.17554,Germany,148
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,19520.61149,19515.85386,Completed,PO + Contract issuance done,11/18/2018,Substantial completion / handover done,12/14/2018 0:00,12/21/2018 0:00,4/15/2019,Completed,School,98720,32.87909,13.19524,Italy,148
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,16909.30476,17226.54561,Completed,PO + Contract issuance done,11/18/2018,Substantial completion / handover done,12/14/2018 0:00,12/21/2018 0:00,4/15/2019,Completed,School,98720,32.88887,13.18588,Italy,148
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,13469.2018,11187.36912,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,18436.19148,15312.89546,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,17466.1045,14507.15202,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,18750.71955,15574.13898,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,13651.18563,11338.52285,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,75494.04856,75303.81634,Completed,PO + Contract issuance done,10/17/2019,Substantial completion / handover done,6/17/2020 0:00,,10/26/2020,Completed,School,112158,32.57084444,13.16913056,EU,375
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,0,0,Completed,PO + Contract issuance done,10/17/2019,Substantial completion / handover done,6/17/2020 0:00,,10/26/2020,Completed,School,112158,32.33891667,13.16028611,EU,375
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,0,0,Completed,PO + Contract issuance done,10/17/2019,Substantial completion / handover done,6/17/2020 0:00,,10/26/2020,Completed,School,112158,32.53678611,13.17336667,EU,375
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,61943.31454,61893.82126,Completed,PO + Contract issuance done,11/3/2019,Substantial completion / handover done,6/17/2020 0:00,,10/26/2020,Completed,School,112158,32.341725,13.08384722,EU,358
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,0,0,Completed,PO + Contract issuance done,11/3/2019,Substantial completion / handover done,6/17/2020 0:00,,10/26/2020,Completed,School,112158,32.45201667,13.15839444,EU,358
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,0,0,Completed,PO + Contract issuance done,11/3/2019,Substantial completion / handover done,6/17/2020 0:00,,10/26/2020,Completed,School,112158,32.31704444,13.10604444,EU,358
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,14917.75554,12390.52173,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,16156.62435,13419.51237,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,17925.20963,14888.47963,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,17686.99934,14690.62481,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,19300.70067,16030.94717,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,13178.97255,13176.55038,Completed,PO + Contract issuance done,11/7/2018,Substantial completion / handover done,12/7/2018 0:00,12/14/2018 0:00,3/18/2019,Completed,School,98720,32.84125,13.21524,Japan,131
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,14803.98666,14795.8888,Completed,PO + Contract issuance done,11/7/2018,Substantial completion / handover done,12/7/2018 0:00,12/14/2018 0:00,3/18/2019,Completed,School,98720,32.84961,13.20573,Japan,131
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,28254.2658,22679.75413,Completed,PO + Contract issuance done,11/7/2018,Substantial completion / handover done,12/7/2018 0:00,12/14/2018 0:00,3/18/2019,Completed,School,98720,32.83209,13.2366,Japan,131
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,15508.63188,15435.54523,Completed,PO + Contract issuance done,11/20/2018,Substantial completion / handover done,11/27/2018 0:00,12/4/2018 0:00,3/18/2019,Completed,School,112158,32.80187,13.28237,EU,118
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,25666.46181,25526.63335,Completed,PO + Contract issuance done,11/20/2018,Substantial completion / handover done,11/27/2018 0:00,12/4/2018 0:00,3/18/2019,Completed,School,112158,32.85905,13.20703,EU,118
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,17989.16872,17874.83386,Completed,PO + Contract issuance done,11/20/2018,Substantial completion / handover done,11/27/2018 0:00,12/4/2018 0:00,3/18/2019,Completed,School,112158,32.81853,13.23419,EU,118
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,17656.19782,14665.04141,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,16458.69701,13670.41057,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,14409.38763,11968.277,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,15626.29749,12979.02879,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Goods ,West,Tripoli,Health ,Suppy of Medical Equipment,Phase 1,14730.47206,12234.96616,Completed,PO + Contract issuance done,1/29/2019,Substantial completion / handover done,,,11/5/2020,Completed,Medical Equipment,98720,,,Norway,646
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,16510.12211,16028.71773,Completed,PO + Contract issuance done,10/23/2018,Substantial completion / handover done,11/22/2018 0:00,11/29/2018 0:00,3/20/2019,Completed,School,112158,32.855873,13.095475,Germany,148
Works ,West,Tripoli,Education ,Rehabilitation of School,Phase 1,20019.72505,19752.81162,Completed,PO + Contract issuance done,10/23/2018,Substantial completion / handover done,11/22/2018 0:00,11/29/2018 0:00,3/12/2019,Completed,School,112158,32.865173,13.125793,Germany,140
